VERSION;7.2.1.201802190531
DATE;11/05/2018 18:10
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0007;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0007;NQDS BHP WELL PROD5;-5.102086370872122
1;base0007;NQDS QL WELL PROD6;1.730746390531633E-13
1;base0007;NQDS QW WELL PROD6;-76.7336030739985
1;base0007;NQDS QO WELL PROD6;3.013829109008083
1;base0007;NQDS BHP WELL PROD6;-0.4016236699679168
1;base0007;NQDS QL WELL PROD7;-2.938800374027903E-10
1;base0007;NQDS QW WELL PROD7;-41.35725850334771
1;base0007;NQDS QO WELL PROD7;4.663947054523074
1;base0007;NQDS BHP WELL PROD7;-1.075093861786786
1;base0007;NQDS QL WELL PROD8;-3.534822084699356E-10
1;base0007;NQDS QW WELL PROD8;-17.95739552373002
1;base0007;NQDS QO WELL PROD8;0.3097140267376438
1;base0007;NQDS BHP WELL PROD8;-0.2144781992318492
1;base0007;NQDS QL WELL PROD9;6.294417772123486E-12
1;base0007;NQDS QW WELL PROD9;-59.35511023451982
1;base0007;NQDS QO WELL PROD9;1.394570248625646
1;base0007;NQDS BHP WELL PROD9;-2.44967201222038
1;base0007;NQDS QL WELL PROD10;1.05616771487684E-14
1;base0007;NQDS QW WELL PROD10;-67.15116345699288
1;base0007;NQDS QO WELL PROD10;1.645837686675028
1;base0007;NQDS BHP WELL PROD10;-0.3678247770105437
1;base0007;NQDS QWI WELL INJ1;0.0
1;base0007;NQDS BHP WELL INJ1;0.1007319577678001
1;base0007;NQDS QWI WELL INJ2;0.0
1;base0007;NQDS BHP WELL INJ2;-0.1325754802051119
1;base0007;NQDS QWI WELL INJ3;0.0
1;base0007;NQDS BHP WELL INJ3;-0.1993028851339692
1;base0007;NQDS QWI WELL INJ4;0.0
1;base0007;NQDS BHP WELL INJ4;-0.2124220286700298
1;base0007;NQDS QWI WELL INJ5;0.0
1;base0007;NQDS BHP WELL INJ5;-0.1416873988854443
1;base0007;NQDS QWI WELL INJ6;0.0
1;base0007;NQDS BHP WELL INJ6;-0.1590803291699437
1;base0007;NQDS QWI WELL INJ7;0.0
1;base0007;NQDS BHP WELL INJ7;-0.4790920657065014
1;base0007;NQDS QWI WELL INJ8;0.0
1;base0007;NQDS BHP WELL INJ8;0.3735532363031375
1;base0007;NQDS QWI WELL INJ9;0.0
1;base0007;NQDS BHP WELL INJ9;-0.2176592997453355
1;base0008;NQDS QL WELL WILDCAT;-1.710997687955156E-10
1;base0008;NQDS QW WELL WILDCAT;9.458287689454188
1;base0008;NQDS QO WELL WILDCAT;-0.2609062561133583
1;base0008;NQDS BHP WELL WILDCAT;-0.5094880677294544
1;base0008;NQDS QL WELL PROD1;3.99910709663456E-10
1;base0008;NQDS QW WELL PROD1;-49.58006955636131
1;base0008;NQDS QO WELL PROD1;4.597852698567442
1;base0008;NQDS BHP WELL PROD1;-1.202457028189763
1;base0008;NQDS QL WELL PROD2;1.692955775816392E-10
1;base0008;NQDS QW WELL PROD2;-71.44707790480653
1;base0008;NQDS QO WELL PROD2;16.10027152775551
1;base0008;NQDS BHP WELL PROD2;-0.6726727300128299
1;base0008;NQDS QL WELL PROD3;-1.007931516589618E-10
1;base0008;NQDS QW WELL PROD3;0.3520650897266867
1;base0008;NQDS QO WELL PROD3;-0.003125115297963841
1;base0008;NQDS BHP WELL PROD3;-1.364963580036589
1;base0008;NQDS QL WELL PROD4;9.995234098612679E-12
1;base0008;NQDS QW WELL PROD4;-86.67727549088973
1;base0008;NQDS QO WELL PROD4;6.579113727687915
1;base0008;NQDS BHP WELL PROD4;-1.466701326120572
1;base0008;NQDS QL WELL PROD5;2.797465913142945E-14
1;base0008;NQDS QW WELL PROD5;9.225656578403673E-13
1;base0008;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0008;NQDS BHP WELL PROD5;-1.133375780580954
1;base0008;NQDS QL WELL PROD6;-3.935649573328354E-10
1;base0008;NQDS QW WELL PROD6;-64.33121115009207
1;base0008;NQDS QO WELL PROD6;2.526701863499094
1;base0008;NQDS BHP WELL PROD6;-0.5346833513643371
1;base0008;NQDS QL WELL PROD7;3.319111883502541E-10
1;base0008;NQDS QW WELL PROD7;-53.30744962371184
